actorid,actor_movie_rank,tagid,timestamp
1069742,2,19.0,2008-04-28 22:59:21
1069742,2,485.0,2007-08-15 00:28:06
1069742,2,762.0,2006-02-25 05:27:17
1069742,2,255.0,2006-01-14 14:11:24
2312401,1,484.0,2007-12-23 21:35:32
2312401,1,731.0,2007-11-27 14:59:38
2312401,1,731.0,2006-09-20 15:25:04
2312401,1,255.0,2006-05-11 21:59:11
2312401,1,19.0,2008-04-28 22:59:21
2312401,1,485.0,2007-08-15 00:28:06
2312401,1,762.0,2006-02-25 05:27:17
2312401,1,255.0,2006-01-14 14:11:24
2665816,3,484.0,2007-12-23 21:35:32
2665816,3,731.0,2007-11-27 14:59:38
2665816,3,731.0,2006-09-20 15:25:04
2665816,3,255.0,2006-05-11 21:59:11
2665816,3,19.0,2008-04-28 22:59:21
2665816,3,485.0,2007-08-15 00:28:06
2665816,3,762.0,2006-02-25 05:27:17
2665816,3,255.0,2006-01-14 14:11:24
128645,2,1075.0,2007-11-20 04:16:42
128645,2,244.0,2008-03-03 19:27:54
128645,2,65.0,2006-02-14 13:54:28
128645,2,65.0,2006-04-20 07:58:24
128645,2,1075.0,2008-04-24 00:27:46
128645,2,244.0,2008-03-26 00:39:06
128645,2,397.0,2006-10-23 17:14:12
128645,2,887.0,2007-08-10 13:04:10
128645,2,244.0,2008-05-03 13:34:02
128645,2,193.0,2007-08-02 11:23:23
128645,2,887.0,2007-08-08 09:01:26
316365,4,1075.0,2007-11-20 04:16:42
316365,4,244.0,2008-03-03 19:27:54
316365,4,65.0,2006-02-14 13:54:28
316365,4,65.0,2006-04-20 07:58:24
316365,4,1075.0,2008-04-24 00:27:46
316365,4,244.0,2008-03-26 00:39:06
316365,4,397.0,2006-10-23 17:14:12
316365,4,887.0,2007-08-10 13:04:10
316365,4,244.0,2008-05-03 13:34:02
316365,4,193.0,2007-08-02 11:23:23
316365,4,887.0,2007-08-08 09:01:26
1907368,3,1075.0,2007-11-20 04:16:42
1907368,3,244.0,2008-03-03 19:27:54
1907368,3,65.0,2006-02-14 13:54:28
1907368,3,65.0,2006-04-20 07:58:24
1907368,3,1075.0,2008-04-24 00:27:46
1907368,3,244.0,2008-03-26 00:39:06
1907368,3,397.0,2006-10-23 17:14:12
1907368,3,887.0,2007-08-10 13:04:10
1907368,3,244.0,2008-05-03 13:34:02
1907368,3,193.0,2007-08-02 11:23:23
1907368,3,887.0,2007-08-08 09:01:26
3900269,1,1075.0,2007-11-20 04:16:42
3900269,1,244.0,2008-03-03 19:27:54
3900269,1,65.0,2006-02-14 13:54:28
3900269,1,65.0,2006-04-20 07:58:24
3900269,1,1075.0,2008-04-24 00:27:46
3900269,1,244.0,2008-03-26 00:39:06
3900269,1,397.0,2006-10-23 17:14:12
3900269,1,887.0,2007-08-10 13:04:10
3900269,1,244.0,2008-05-03 13:34:02
3900269,1,193.0,2007-08-02 11:23:23
3900269,1,887.0,2007-08-08 09:01:26
485553,1,113.0,2007-05-18 02:48:40
485553,1,374.0,2008-02-29 13:45:04
830152,3,113.0,2007-05-18 02:48:40
830152,3,374.0,2008-02-29 13:45:04
1405458,4,113.0,2007-05-18 02:48:40
1405458,4,374.0,2008-02-29 13:45:04
2605571,2,113.0,2007-05-18 02:48:40
2605571,2,374.0,2008-02-29 13:45:04
1253701,3,509.0,2006-02-25 11:35:22
1483828,4,509.0,2006-02-25 11:35:22
2355195,1,509.0,2006-02-25 11:35:22
2805709,2,509.0,2006-02-25 11:35:22
498094,4,1022.0,2006-01-15 11:18:10
498094,4,261.0,2006-10-23 17:35:42
1229838,3,1022.0,2006-01-15 11:18:10
1229838,3,261.0,2006-10-23 17:35:42
2055016,1,1022.0,2006-01-15 11:18:10
2055016,1,261.0,2006-10-23 17:35:42
3464199,2,1022.0,2006-01-15 11:18:10
3464199,2,261.0,2006-10-23 17:35:42
1206315,1,,
1348041,3,,
1900518,2,,
3632088,4,,
225389,3,,
520603,4,,
2108815,1,,
2166109,2,,
665569,2,,
724992,3,,
1049512,1,,
2769988,4,,
618247,1,554.0,2006-03-08 12:25:55
1158040,2,554.0,2006-03-08 12:25:55
3191522,3,554.0,2006-03-08 12:25:55
3373644,4,554.0,2006-03-08 12:25:55
1297720,3,1007.0,2007-12-15 23:40:47
1297720,3,309.0,2006-01-15 16:00:26
1297720,3,64.0,2008-09-12 06:34:13
1297720,3,844.0,2006-06-29 12:10:57
1297720,3,63.0,2006-04-20 07:59:17
1297720,3,844.0,2007-05-18 02:26:42
1297720,3,64.0,2008-01-30 10:11:20
1297720,3,186.0,2008-11-22 15:37:27
1297720,3,63.0,2006-01-20 07:00:22
1297720,3,63.0,2006-10-18 12:02:29
1309137,2,1007.0,2007-12-15 23:40:47
1309137,2,309.0,2006-01-15 16:00:26
1309137,2,64.0,2008-09-12 06:34:13
1309137,2,844.0,2006-06-29 12:10:57
1309137,2,63.0,2006-04-20 07:59:17
1309137,2,844.0,2007-05-18 02:26:42
1309137,2,64.0,2008-01-30 10:11:20
1309137,2,186.0,2008-11-22 15:37:27
1309137,2,63.0,2006-01-20 07:00:22
1309137,2,63.0,2006-10-18 12:02:29
1953875,1,1007.0,2007-12-15 23:40:47
1953875,1,309.0,2006-01-15 16:00:26
1953875,1,64.0,2008-09-12 06:34:13
1953875,1,844.0,2006-06-29 12:10:57
1953875,1,63.0,2006-04-20 07:59:17
1953875,1,844.0,2007-05-18 02:26:42
1953875,1,64.0,2008-01-30 10:11:20
1953875,1,186.0,2008-11-22 15:37:27
1953875,1,63.0,2006-01-20 07:00:22
1953875,1,63.0,2006-10-18 12:02:29
2392683,4,1007.0,2007-12-15 23:40:47
2392683,4,309.0,2006-01-15 16:00:26
2392683,4,64.0,2008-09-12 06:34:13
2392683,4,844.0,2006-06-29 12:10:57
2392683,4,63.0,2006-04-20 07:59:17
2392683,4,844.0,2007-05-18 02:26:42
2392683,4,64.0,2008-01-30 10:11:20
2392683,4,186.0,2008-11-22 15:37:27
2392683,4,63.0,2006-01-20 07:00:22
2392683,4,63.0,2006-10-18 12:02:29
1817602,3,,
1856129,1,,
2276255,4,,
3120951,2,,
2454190,3,268.0,2006-01-23 11:02:25
2454190,3,268.0,2006-05-11 21:58:08
2520743,4,268.0,2006-01-23 11:02:25
2520743,4,268.0,2006-05-11 21:58:08
2963551,1,268.0,2006-01-23 11:02:25
2963551,1,268.0,2006-05-11 21:58:08
3763705,2,268.0,2006-01-23 11:02:25
3763705,2,268.0,2006-05-11 21:58:08
1335137,3,111.0,2007-07-02 16:33:22
1335137,3,331.0,2006-01-13 11:10:59
1839848,1,111.0,2007-07-02 16:33:22
1839848,1,331.0,2006-01-13 11:10:59
2746767,4,111.0,2007-07-02 16:33:22
2746767,4,331.0,2006-01-13 11:10:59
2997171,2,111.0,2007-07-02 16:33:22
2997171,2,331.0,2006-01-13 11:10:59
61523,2,,
1681146,1,,
2411110,4,,
3890203,3,,
621487,4,230.0,2006-01-15 02:53:45
702631,3,230.0,2006-01-15 02:53:45
1292135,1,230.0,2006-01-15 02:53:45
2532241,2,230.0,2006-01-15 02:53:45
1273531,3,456.0,2006-11-30 20:15:23
1273531,3,926.0,2008-03-21 17:13:47
1273531,3,505.0,2006-01-12 15:03:38
1273531,3,1085.0,2006-05-12 08:52:41
1273531,3,1085.0,2008-06-17 18:32:53
1273531,3,1085.0,2006-02-02 07:08:53
1726318,4,456.0,2006-11-30 20:15:23
1726318,4,926.0,2008-03-21 17:13:47
1726318,4,505.0,2006-01-12 15:03:38
1726318,4,1085.0,2006-05-12 08:52:41
1726318,4,1085.0,2008-06-17 18:32:53
1726318,4,1085.0,2006-02-02 07:08:53
2805154,2,456.0,2006-11-30 20:15:23
2805154,2,926.0,2008-03-21 17:13:47
2805154,2,505.0,2006-01-12 15:03:38
2805154,2,1085.0,2006-05-12 08:52:41
2805154,2,1085.0,2008-06-17 18:32:53
2805154,2,1085.0,2006-02-02 07:08:53
3257358,1,456.0,2006-11-30 20:15:23
3257358,1,926.0,2008-03-21 17:13:47
3257358,1,505.0,2006-01-12 15:03:38
3257358,1,1085.0,2006-05-12 08:52:41
3257358,1,1085.0,2008-06-17 18:32:53
3257358,1,1085.0,2006-02-02 07:08:53
386263,1,350.0,2006-01-26 13:28:21
386263,1,170.0,2008-01-03 09:13:35
386263,1,719.0,2007-09-08 21:55:38
721841,4,350.0,2006-01-26 13:28:21
721841,4,170.0,2008-01-03 09:13:35
721841,4,719.0,2007-09-08 21:55:38
2260528,3,350.0,2006-01-26 13:28:21
2260528,3,170.0,2008-01-03 09:13:35
2260528,3,719.0,2007-09-08 21:55:38
2481470,2,350.0,2006-01-26 13:28:21
2481470,2,170.0,2008-01-03 09:13:35
2481470,2,719.0,2007-09-08 21:55:38
17838,1,232.0,2006-03-15 06:08:14
17838,1,501.0,2007-06-11 10:36:50
17838,1,989.0,2007-05-14 14:06:22
17838,1,285.0,2006-10-23 17:14:41
17838,1,989.0,2006-01-12 19:10:13
17838,1,232.0,2006-10-05 05:12:37
17838,1,632.0,2007-08-02 11:27:09
17838,1,232.0,2007-08-10 20:43:48
17838,1,232.0,2007-08-17 18:44:57
17838,1,19.0,2007-08-18 09:53:13
17838,1,989.0,2007-08-23 07:17:30
17838,1,97.0,2007-08-26 16:33:16
623809,4,232.0,2006-03-15 06:08:14
623809,4,501.0,2007-06-11 10:36:50
623809,4,989.0,2007-05-14 14:06:22
623809,4,285.0,2006-10-23 17:14:41
623809,4,989.0,2006-01-12 19:10:13
623809,4,232.0,2006-10-05 05:12:37
623809,4,632.0,2007-08-02 11:27:09
623809,4,232.0,2007-08-10 20:43:48
623809,4,232.0,2007-08-17 18:44:57
623809,4,19.0,2007-08-18 09:53:13
623809,4,989.0,2007-08-23 07:17:30
623809,4,97.0,2007-08-26 16:33:16
692749,3,232.0,2006-03-15 06:08:14
692749,3,501.0,2007-06-11 10:36:50
692749,3,989.0,2007-05-14 14:06:22
692749,3,285.0,2006-10-23 17:14:41
692749,3,989.0,2006-01-12 19:10:13
692749,3,232.0,2006-10-05 05:12:37
692749,3,632.0,2007-08-02 11:27:09
692749,3,232.0,2007-08-10 20:43:48
692749,3,232.0,2007-08-17 18:44:57
692749,3,19.0,2007-08-18 09:53:13
692749,3,989.0,2007-08-23 07:17:30
692749,3,97.0,2007-08-26 16:33:16
2991079,2,232.0,2006-03-15 06:08:14
2991079,2,501.0,2007-06-11 10:36:50
2991079,2,989.0,2007-05-14 14:06:22
2991079,2,285.0,2006-10-23 17:14:41
2991079,2,989.0,2006-01-12 19:10:13
2991079,2,232.0,2006-10-05 05:12:37
2991079,2,632.0,2007-08-02 11:27:09
2991079,2,232.0,2007-08-10 20:43:48
2991079,2,232.0,2007-08-17 18:44:57
2991079,2,19.0,2007-08-18 09:53:13
2991079,2,989.0,2007-08-23 07:17:30
2991079,2,97.0,2007-08-26 16:33:16
61523,4,,
591435,2,,
1329956,1,,
3116114,4,,
511361,4,,
1072668,3,,
2312401,1,,
3471294,2,,
719241,2,687.0,2008-10-06 20:16:13
2613454,4,687.0,2008-10-06 20:16:13
2731923,1,687.0,2008-10-06 20:16:13
3568607,3,687.0,2008-10-06 20:16:13
755967,2,,
2284269,1,,
2899766,4,,
3121684,3,,
713207,4,1001.0,2006-01-26 13:28:46
713207,4,784.0,2007-07-07 17:48:02
713207,4,327.0,2007-12-31 20:57:25
1808442,1,1001.0,2006-01-26 13:28:46
1808442,1,784.0,2007-07-07 17:48:02
1808442,1,327.0,2007-12-31 20:57:25
3544742,3,1001.0,2006-01-26 13:28:46
3544742,3,784.0,2007-07-07 17:48:02
3544742,3,327.0,2007-12-31 20:57:25
3951524,2,1001.0,2006-01-26 13:28:46
3951524,2,784.0,2007-07-07 17:48:02
3951524,2,327.0,2007-12-31 20:57:25
96585,1,672.0,2008-07-27 23:16:59
96585,1,672.0,2007-05-05 05:59:56
172359,2,672.0,2008-07-27 23:16:59
172359,2,672.0,2007-05-05 05:59:56
455857,3,672.0,2008-07-27 23:16:59
455857,3,672.0,2007-05-05 05:59:56
1049512,4,672.0,2008-07-27 23:16:59
1049512,4,672.0,2007-05-05 05:59:56
225715,2,,
2274023,3,,
2647481,4,,
3763705,1,,
630676,3,159.0,2006-08-19 17:10:49
630676,3,333.0,2006-02-08 20:51:51
665574,2,159.0,2006-08-19 17:10:49
665574,2,333.0,2006-02-08 20:51:51
2082212,4,159.0,2006-08-19 17:10:49
2082212,4,333.0,2006-02-08 20:51:51
3650577,1,159.0,2006-08-19 17:10:49
3650577,1,333.0,2006-02-08 20:51:51
2149685,3,682.0,2007-06-08 16:59:56
2149685,3,719.0,2007-06-25 06:35:58
2197978,1,682.0,2007-06-08 16:59:56
2197978,1,719.0,2007-06-25 06:35:58
2476125,4,682.0,2007-06-08 16:59:56
2476125,4,719.0,2007-06-25 06:35:58
2481470,2,682.0,2007-06-08 16:59:56
2481470,2,719.0,2007-06-25 06:35:58
61523,2,361.0,2008-01-27 15:57:00
1606367,1,361.0,2008-01-27 15:57:00
3747431,3,361.0,2008-01-27 15:57:00
3762843,4,361.0,2008-01-27 15:57:00
339013,4,,
1190192,3,,
1374719,2,,
3805632,1,,
1792455,4,1128.0,2008-05-23 18:33:32
1792455,4,305.0,2006-04-19 05:38:17
1792455,4,1127.0,2007-07-31 07:14:58
1792455,4,730.0,2006-09-25 23:40:08
1792455,4,19.0,2007-03-04 15:39:28
1792455,4,1128.0,2007-06-23 09:47:00
1792455,4,1128.0,2006-07-18 23:21:30
1792455,4,849.0,2007-02-04 18:19:22
1792455,4,1127.0,2006-01-14 22:14:34
1792455,4,1128.0,2007-05-12 15:42:56
1792455,4,1128.0,2006-07-03 16:21:08
1792455,4,1128.0,2006-12-22 02:35:11
1907368,2,1128.0,2008-05-23 18:33:32
1907368,2,305.0,2006-04-19 05:38:17
1907368,2,1127.0,2007-07-31 07:14:58
1907368,2,730.0,2006-09-25 23:40:08
1907368,2,19.0,2007-03-04 15:39:28
1907368,2,1128.0,2007-06-23 09:47:00
1907368,2,1128.0,2006-07-18 23:21:30
1907368,2,849.0,2007-02-04 18:19:22
1907368,2,1127.0,2006-01-14 22:14:34
1907368,2,1128.0,2007-05-12 15:42:56
1907368,2,1128.0,2006-07-03 16:21:08
1907368,2,1128.0,2006-12-22 02:35:11
2436599,3,1128.0,2008-05-23 18:33:32
2436599,3,305.0,2006-04-19 05:38:17
2436599,3,1127.0,2007-07-31 07:14:58
2436599,3,730.0,2006-09-25 23:40:08
2436599,3,19.0,2007-03-04 15:39:28
2436599,3,1128.0,2007-06-23 09:47:00
2436599,3,1128.0,2006-07-18 23:21:30
2436599,3,849.0,2007-02-04 18:19:22
2436599,3,1127.0,2006-01-14 22:14:34
2436599,3,1128.0,2007-05-12 15:42:56
2436599,3,1128.0,2006-07-03 16:21:08
2436599,3,1128.0,2006-12-22 02:35:11
3558986,1,1128.0,2008-05-23 18:33:32
3558986,1,305.0,2006-04-19 05:38:17
3558986,1,1127.0,2007-07-31 07:14:58
3558986,1,730.0,2006-09-25 23:40:08
3558986,1,19.0,2007-03-04 15:39:28
3558986,1,1128.0,2007-06-23 09:47:00
3558986,1,1128.0,2006-07-18 23:21:30
3558986,1,849.0,2007-02-04 18:19:22
3558986,1,1127.0,2006-01-14 22:14:34
3558986,1,1128.0,2007-05-12 15:42:56
3558986,1,1128.0,2006-07-03 16:21:08
3558986,1,1128.0,2006-12-22 02:35:11
277151,4,792.0,2006-02-05 16:12:37
277151,4,807.0,2006-01-20 23:38:03
277151,4,792.0,2006-07-04 10:36:44
542238,3,792.0,2006-02-05 16:12:37
542238,3,807.0,2006-01-20 23:38:03
542238,3,792.0,2006-07-04 10:36:44
1198397,1,792.0,2006-02-05 16:12:37
1198397,1,807.0,2006-01-20 23:38:03
1198397,1,792.0,2006-07-04 10:36:44
3632088,2,792.0,2006-02-05 16:12:37
3632088,2,807.0,2006-01-20 23:38:03
3632088,2,792.0,2006-07-04 10:36:44
878356,2,406.0,2007-12-01 06:39:01
878356,2,623.0,2007-05-20 07:03:30
878356,2,492.0,2006-11-13 13:23:19
878356,2,1115.0,2006-01-13 18:39:44
878356,2,623.0,2006-12-16 21:59:02
878356,2,492.0,2006-01-22 06:48:58
878356,2,623.0,2006-01-29 18:15:33
878356,2,623.0,2006-02-12 11:57:27
878356,2,1028.0,2006-06-29 13:38:49
878356,2,623.0,2007-02-09 12:28:53
878356,2,1028.0,2007-02-23 07:54:03
878356,2,492.0,2008-01-12 05:05:00
878356,2,623.0,2006-02-04 12:43:54
878356,2,377.0,2008-07-12 23:19:18
878356,2,492.0,2006-09-18 14:08:29
878356,2,1112.0,2006-01-17 05:45:28
878356,2,623.0,2006-01-17 11:08:15
878356,2,1112.0,2007-10-28 09:30:21
878356,2,901.0,2006-01-13 09:22:53
878356,2,623.0,2006-05-07 04:02:54
1860883,1,406.0,2007-12-01 06:39:01
1860883,1,623.0,2007-05-20 07:03:30
1860883,1,492.0,2006-11-13 13:23:19
1860883,1,1115.0,2006-01-13 18:39:44
1860883,1,623.0,2006-12-16 21:59:02
1860883,1,492.0,2006-01-22 06:48:58
1860883,1,623.0,2006-01-29 18:15:33
1860883,1,623.0,2006-02-12 11:57:27
1860883,1,1028.0,2006-06-29 13:38:49
1860883,1,623.0,2007-02-09 12:28:53
1860883,1,1028.0,2007-02-23 07:54:03
1860883,1,492.0,2008-01-12 05:05:00
1860883,1,623.0,2006-02-04 12:43:54
1860883,1,377.0,2008-07-12 23:19:18
1860883,1,492.0,2006-09-18 14:08:29
1860883,1,1112.0,2006-01-17 05:45:28
1860883,1,623.0,2006-01-17 11:08:15
1860883,1,1112.0,2007-10-28 09:30:21
1860883,1,901.0,2006-01-13 09:22:53
1860883,1,623.0,2006-05-07 04:02:54
2946264,3,406.0,2007-12-01 06:39:01
2946264,3,623.0,2007-05-20 07:03:30
2946264,3,492.0,2006-11-13 13:23:19
2946264,3,1115.0,2006-01-13 18:39:44
2946264,3,623.0,2006-12-16 21:59:02
2946264,3,492.0,2006-01-22 06:48:58
2946264,3,623.0,2006-01-29 18:15:33
2946264,3,623.0,2006-02-12 11:57:27
2946264,3,1028.0,2006-06-29 13:38:49
2946264,3,623.0,2007-02-09 12:28:53
2946264,3,1028.0,2007-02-23 07:54:03
2946264,3,492.0,2008-01-12 05:05:00
2946264,3,623.0,2006-02-04 12:43:54
2946264,3,377.0,2008-07-12 23:19:18
2946264,3,492.0,2006-09-18 14:08:29
2946264,3,1112.0,2006-01-17 05:45:28
2946264,3,623.0,2006-01-17 11:08:15
2946264,3,1112.0,2007-10-28 09:30:21
2946264,3,901.0,2006-01-13 09:22:53
2946264,3,623.0,2006-05-07 04:02:54
3704908,4,406.0,2007-12-01 06:39:01
3704908,4,623.0,2007-05-20 07:03:30
3704908,4,492.0,2006-11-13 13:23:19
3704908,4,1115.0,2006-01-13 18:39:44
3704908,4,623.0,2006-12-16 21:59:02
3704908,4,492.0,2006-01-22 06:48:58
3704908,4,623.0,2006-01-29 18:15:33
3704908,4,623.0,2006-02-12 11:57:27
3704908,4,1028.0,2006-06-29 13:38:49
3704908,4,623.0,2007-02-09 12:28:53
3704908,4,1028.0,2007-02-23 07:54:03
3704908,4,492.0,2008-01-12 05:05:00
3704908,4,623.0,2006-02-04 12:43:54
3704908,4,377.0,2008-07-12 23:19:18
3704908,4,492.0,2006-09-18 14:08:29
3704908,4,1112.0,2006-01-17 05:45:28
3704908,4,623.0,2006-01-17 11:08:15
3704908,4,1112.0,2007-10-28 09:30:21
3704908,4,901.0,2006-01-13 09:22:53
3704908,4,623.0,2006-05-07 04:02:54
565786,1,,
987727,2,,
1170039,3,,
2689164,4,,
322458,3,,
720541,2,,
952910,1,,
2655416,4,,
602906,3,,
2131839,1,,
2329949,4,,
3599993,2,,
2430898,1,,
2867955,2,,
3373136,3,,
3447369,4,,
1021526,4,,
1260631,3,,
1892087,1,,
3898471,2,,
515252,2,,
1463669,4,,
3618428,1,,
3838861,3,,
99457,4,,
461637,2,,
2277581,1,,
3730286,3,,
377600,4,,
2312401,1,,
2369664,3,,
3813562,2,,
263611,4,,
2558605,1,,
2665816,2,,
2681348,3,,
2520743,4,,
2532241,3,,
2823711,1,,
3076964,2,,
733545,2,,
749056,1,,
1747719,3,,
2408311,4,,
1292135,1,,
1323070,4,,
3301462,2,,
3571456,3,,
724992,2,,
2654869,1,,
2757658,3,,
3811626,4,,
872868,2,,
2413133,1,,
2682129,3,,
2819679,4,,
1216582,4,,
1781042,1,,
2340377,2,,
3907210,3,,
68671,4,,
277151,2,,
406221,3,,
3168573,1,,
499028,2,,
651056,3,,
3134858,4,,
3425734,1,,
350376,3,,
2083024,2,,
2476829,1,,
3783897,4,,
562270,2,,
831209,3,,
3756760,4,,
3781744,1,,
973296,4,,
1637467,3,,
2102051,1,,
3019879,2,,
715492,2,,
2125863,4,,
3097703,3,,
3648407,1,,
337981,2,,
1771318,1,,
2806255,3,,
3368894,4,,
2275105,1,,
2338959,1,,
3017359,2,,
3788413,2,,
458558,1,,
1793283,2,,
2871653,4,,
3292476,3,,
755909,2,,
1658441,3,,
1767026,1,,
1823127,4,,
608635,4,,
642688,3,,
901175,1,,
1978197,2,,
45899,1,,
1292135,3,,
1395789,4,,
2312401,2,,
312142,1,,
782027,2,,
3249812,3,,
133985,1,,
925935,3,,
2678332,4,,
3650577,2,,
1542279,3,,
2177227,4,,
2745228,1,,
3310162,2,,
1049512,1,,
1584763,3,,
2472635,2,,
2870323,4,,
310310,2,,
486691,4,,
925935,3,,
3251912,1,,
176713,2,,
412301,1,,
2672983,3,,
3251912,4,,
416857,3,,
1853425,1,,
3509936,4,,
3520350,2,,
319124,3,,
353746,4,,
2706646,1,,
2963551,2,,
408123,1,,
450680,4,,
462304,3,,
1771318,2,,
