movieid,genres,actorid,actor_movie_rank
9441,Drama,3907210,3
9443,Action|Thriller,68671,4
9443,Action|Thriller,277151,2
9443,Action|Thriller,406221,3
9443,Action|Thriller,3168573,1
9448,Thriller,499028,2
9448,Thriller,651056,3
9448,Thriller,3134858,4
9448,Thriller,3425734,1
9514,Adventure,350376,3
9514,Adventure,2083024,2
9514,Adventure,2476829,1
9514,Adventure,3783897,4
9739,Drama,562270,2
9739,Drama,831209,3
9739,Drama,3756760,4
9739,Drama,3781744,1
9753,Drama,973296,4
9753,Drama,1637467,3
9753,Drama,2102051,1
9753,Drama,3019879,2
9775,Drama,715492,2
9775,Drama,2125863,4
9775,Drama,3097703,3
9775,Drama,3648407,1
9779,Adventure,337981,2
9779,Adventure,1771318,1
9779,Adventure,2806255,3
9779,Adventure,3368894,4
9782,Thriller|Drama,2275105,1
9782,Thriller|Drama,2338959,1
9782,Thriller|Drama,3017359,2
9782,Thriller|Drama,3788413,2
9797,Thriller|Drama,458558,1
9797,Thriller|Drama,1793283,2
9797,Thriller|Drama,2871653,4
9797,Thriller|Drama,3292476,3
9807,Crime|Action,755909,2
9807,Crime|Action,1658441,3
9807,Crime|Action,1767026,1
9807,Crime|Action,1823127,4
9816,Crime|Thriller|Drama,608635,4
9816,Crime|Thriller|Drama,642688,3
9816,Crime|Thriller|Drama,901175,1
9816,Crime|Thriller|Drama,1978197,2
9818,Adventure,45899,1
9818,Adventure,1292135,3
9818,Adventure,1395789,4
9818,Adventure,2312401,2
9821,Action,312142,1
9821,Action,782027,2
9821,Action,3249812,3
10059,Action|Thriller,133985,1
10059,Action|Thriller,925935,3
10059,Action|Thriller,2678332,4
10059,Action|Thriller,3650577,2
10143,Action|Thriller,1542279,3
10143,Action|Thriller,2177227,4
10143,Action|Thriller,2745228,1
10143,Action|Thriller,3310162,2
10156,Crime,1049512,1
10156,Crime,1584763,3
10156,Crime,2472635,2
10156,Crime,2870323,4
10157,Crime|Thriller,310310,2
10157,Crime|Thriller,486691,4
10157,Crime|Thriller,925935,3
10157,Crime|Thriller,3251912,1
10178,Thriller|Adventure|Drama,176713,2
10178,Thriller|Adventure|Drama,412301,1
10178,Thriller|Adventure|Drama,2672983,3
10178,Thriller|Adventure|Drama,3251912,4
10227,Drama,416857,3
10227,Drama,1853425,1
10227,Drama,3509936,4
10227,Drama,3520350,2
10234,Adventure,319124,3
10234,Adventure,353746,4
10234,Adventure,2706646,1
10234,Adventure,2963551,2
10241,Adventure,408123,1
10241,Adventure,450680,4
10241,Adventure,462304,3
10241,Adventure,1771318,2
